# time / s  absorbance
    0.0000    1.35779
   30.0000    1.29250
   60.0000    1.22507
   90.0000    1.15894
  120.0000    1.09577
  150.0000    1.03692
  180.0000    0.982347
  210.0000    0.931824
  240.0000    0.885125
  270.0000    0.841837
  300.0000    0.801532
  330.0000    0.763798
  360.0000    0.728540
  390.0000    0.695288
  420.0000    0.664091
  450.0000    0.634505
  480.0000    0.606478
  510.0000    0.579789
  540.0000    0.554613
  570.0000    0.530498
  600.0000    0.507672
  630.0000    0.485821
  660.0000    0.465086
  690.0000    0.445274
  720.0000    0.426410
  750.0000    0.408493
  780.0000    0.391225
  810.0000    0.374905
  840.0000    0.359226
  870.0000    0.344408
  900.0000    0.330213
  930.0000    0.316596
  960.0000    0.303568
  990.0000    0.291163
 1020.0000    0.279384
 1050.0000    0.268078
 1080.0000    0.257192
 1110.0000    0.246891
 1140.0000    0.236881
 1170.0000    0.227460
 1200.0000    0.218346
