;TLC_ID;COMPOUND_ID;SMILES;H;EA;DCM;MeOH;Rf
0;1;1;O=C(C1=CC=CC=C1)CCCl;1;0;0;0;0.049175
1;2;1;O=C(C1=CC=CC=C1)CCCl;0.980392;0.019608;0;0;0.262708
2;3;1;O=C(C1=CC=CC=C1)CCCl;0.952381;0.047619;0;0;0.4102
3;4;1;O=C(C1=CC=CC=C1)CCCl;0.833333;0.166667;0;0;0.719773
4;5;1;O=C(C1=CC=CC=C1)CCCl;0.75;0.25;0;0;0.794856
5;6;1;O=C(C1=CC=CC=C1)CCCl;0.5;0.5;0;0;0.974462
6;7;1;O=C(C1=CC=CC=C1)CCCl;0.333333;0.666667;0;0;0.976829
7;8;1;O=C(C1=CC=CC=C1)CCCl;0;1;0;0;0.980526
8;9;3;CC(C1=CC=C(C(C)=O)C=C1)=O;1;0;0;0;0.013357
9;10;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.980392;0.019608;0;0;0.043513
10;11;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.952381;0.047619;0;0;0.060319
11;12;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.833333;0.166667;0;0;0.284939
12;13;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.75;0.25;0;0;0.420388
13;14;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.5;0.5;0;0;0.770158
14;15;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0.333333;0.666667;0;0;0.857664
15;16;3;CC(C1=CC=C(C(C)=O)C=C1)=O;0;1;0;0;0.912367
16;17;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;1;0;0;0;0.015686
17;18;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.980392;0.019608;0;0;0.090994
18;19;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.952381;0.047619;0;0;0.184601
19;20;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.833333;0.166667;0;0;0.408376
20;21;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.75;0.25;0;0;0.567808
21;22;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.5;0.5;0;0;0.827728
22;23;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0.333333;0.666667;0;0;0.890663
23;24;4;O=C(C1=NC=CC=C1)C2=CC=CC=C2;0;1;0;0;0.929798
24;25;5;COC1=CC=C2C=CC=CC2=C1;1;0;0;0;0.264465
25;26;5;COC1=CC=C2C=CC=CC2=C1;0.980392;0.019608;0;0;0.514159
26;27;5;COC1=CC=C2C=CC=CC2=C1;0.952381;0.047619;0;0;0.625546
27;28;5;COC1=CC=C2C=CC=CC2=C1;0.833333;0.166667;0;0;0.850549
28;29;5;COC1=CC=C2C=CC=CC2=C1;0.75;0.25;0;0;0.8958
29;30;5;COC1=CC=C2C=CC=CC2=C1;0.5;0.5;0;0;1
30;31;5;COC1=CC=C2C=CC=CC2=C1;0.333333;0.666667;0;0;1
31;32;5;COC1=CC=C2C=CC=CC2=C1;0;1;0;0;1
32;33;6;BrC1=CC=C2C=CC=CC2=C1;1;0;0;0;0.772653
33;34;6;BrC1=CC=C2C=CC=CC2=C1;0.980392;0.019608;0;0;0.811256
34;35;6;BrC1=CC=C2C=CC=CC2=C1;0.952381;0.047619;0;0;0.82949
35;36;6;BrC1=CC=C2C=CC=CC2=C1;0.833333;0.166667;0;0;0.926935
36;37;6;BrC1=CC=C2C=CC=CC2=C1;0.75;0.25;0;0;0.938131
37;38;6;BrC1=CC=C2C=CC=CC2=C1;0.5;0.5;0;0;0.996529
38;39;6;BrC1=CC=C2C=CC=CC2=C1;0.333333;0.666667;0;0;1
39;40;6;BrC1=CC=C2C=CC=CC2=C1;0;1;0;0;1
40;41;7;CC1=CC=C(OC)C(OC)=C1;1;0;0;0;0.097297
41;42;7;CC1=CC=C(OC)C(OC)=C1;0.980392;0.019608;0;0;0.185605
42;43;7;CC1=CC=C(OC)C(OC)=C1;0.952381;0.047619;0;0;0.321301
43;44;7;CC1=CC=C(OC)C(OC)=C1;0.833333;0.166667;0;0;0.651281
44;45;7;CC1=CC=C(OC)C(OC)=C1;0.75;0.25;0;0;0.752525
45;46;7;CC1=CC=C(OC)C(OC)=C1;0.5;0.5;0;0;0.927109
46;47;7;CC1=CC=C(OC)C(OC)=C1;0.333333;0.666667;0;0;0.962851
47;48;7;CC1=CC=C(OC)C(OC)=C1;0;1;0;0;0.970598
