# time / s  absorbance
    0.0000    1.36045
   10.0000    1.30614
   20.0000    1.24810
   30.0000    1.18582
   40.0000    1.12329
   50.0000    1.06024
   60.0000    0.998690
   70.0000    0.939205
   80.0000    0.881525
   90.0000    0.825990
  100.0000    0.773420
  110.0000    0.723693
  120.0000    0.676178
  130.0000    0.631285
  140.0000    0.588940
  150.0000    0.548783
  160.0000    0.511026
  170.0000    0.475465
  180.0000    0.441880
  190.0000    0.410550
  200.0000    0.380911
  210.0000    0.353308
  220.0000    0.327453
  230.0000    0.303112
  240.0000    0.280510
  250.0000    0.259181
  260.0000    0.239575
  270.0000    0.221209
  280.0000    0.204020
  290.0000    0.188091
  300.0000    0.173065
