Wavelength,Anthocyanin,Betacyanin,Betaxanthin,Beta-Carotene,Chlorophyll A,Chlorophyll B
300,48774.3120,6856.6472,32515.3761,17222.4518,48888.5994,55154.1192
301,45505.6267,6707.7038,32435.1241,16650.4322,48297.6883,54487.4774
302,43178.6179,6533.0442,32350.8707,16038.3448,47562.1486,53657.6715
303,41527.2862,6346.6287,32277.0656,15394.2074,46971.2374,52991.0297
304,40352.6176,6145.6233,32198.3698,14765.7620,46553.8806,52520.1848
305,39537.1452,5933.1768,32114.3386,14121.2333,46136.5238,52049.3399
306,38984.7597,5716.2169,32013.1901,13507.1939,45929.9115,51816.2484
307,38626.8579,5506.2790,31910.4854,12949.4969,45644.7865,51494.5821
308,38406.4862,5299.5006,31787.1063,12481.1856,45429.9098,51252.1669
309,38314.5837,5101.4026,31651.0560,12097.0308,45458.8355,51284.7997
310,38305.1993,4920.1199,31494.3312,11853.2324,45202.6362,50995.7662
311,38359.8877,4757.0168,31343.8311,11680.9097,45339.0004,51149.6066
312,38482.2086,4599.4978,31160.8744,11566.9554,45434.0420,51256.8287
313,38660.8359,4454.1546,30959.4665,11575.0919,45500.1579,51331.4180
314,38872.7940,4323.0550,30748.2771,11564.2627,45570.4061,51410.6691
315,39110.9637,4194.1806,30504.6313,11558.8154,45822.4731,51695.0408
316,39378.5811,4071.3836,30242.3120,11595.3068,45884.4568,51764.9682
317,39646.5220,3957.6135,29963.5421,11623.7810,46074.5401,51979.4124
318,39908.3145,3845.4703,29670.1000,11658.5714,46153.0528,52067.9872
319,40152.9563,3733.8624,29348.6477,11707.9939,46500.1614,52459.5810
320,40392.4204,3628.7833,29012.0786,11781.7224,46686.1125,52669.3634
321,40586.9041,3520.9541,28642.3861,11888.2204,46731.5672,52720.6435
322,40752.9110,3417.2604,28254.2423,12045.2775,47107.6015,53144.8701
323,40870.0543,3318.2272,27844.0904,12254.1311,47388.5942,53461.8746
324,40942.8643,3218.5747,27415.9318,12556.5636,47702.6449,53816.1737
325,40945.4531,3123.0997,26967.7658,12875.0560,48235.7046,54417.5499
326,40916.0055,3033.9751,26516.4876,13234.9122,48748.1031,54995.6169
327,40809.5410,2944.6195,26046.9804,13612.3432,49078.6828,55368.5634
