time /s,extinction
0,1.47607
30,1.45435
60,1.42444
90,1.39548
120,1.36367
150,1.32853
180,1.29172
210,1.25212
240,1.21244
270,1.17263
300,1.13383
330,1.09543
360,1.05791
390,1.02156
420,0.986218
450,0.952047
480,0.918912
510,0.88678
540,0.85569
570,0.825738
600,0.796686
630,0.768844
660,0.741886
690,0.715988
720,0.69101
750,0.666919
780,0.643636
810,0.621283
840,0.59968
870,0.578892
900,0.558724
930,0.53947
960,0.520869
990,0.502787
1020,0.485387
1050,0.468641
1080,0.452446
1110,0.436861
1140,0.421905
1170,0.407435
1200,0.393361
