time /s,extinction
0,1.3551
2,1.31439
4,1.26788
6,1.22328
8,1.17572
10,1.12877
12,1.08231
14,1.04082
16,0.999285
18,0.958816
20,0.919614
22,0.880826
24,0.843939
26,0.808611
28,0.775125
30,0.742653
32,0.711876
34,0.683356
36,0.65443
38,0.62672
40,0.600226
42,0.574672
44,0.550495
46,0.527085
48,0.505147
50,0.483953
52,0.463866
54,0.443959
56,0.425565
58,0.407697
60,0.389891
62,0.373134
64,0.357374
66,0.341871
68,0.326859
70,0.312598
72,0.299166
74,0.285999
76,0.273239
78,0.262391
80,0.250942
82,0.239668
84,0.228891
86,0.21829
88,0.208506
90,0.199272
92,0.190078
94,0.181359
96,0.173239
98,0.165402
100,0.157313
102,0.149713
104,0.142724
106,0.136005
108,0.129623
110,0.123482
112,0.117449
114,0.111649
116,0.106034
118,0.100722
120,0.095591
122,0.0908308
124,0.0861576
126,0.0817577
128,0.0773887
130,0.0734345
132,0.069555
134,0.0657925
136,0.0620435
138,0.0586665
140,0.0553029
142,0.0519082
144,0.048687
146,0.0456226
148,0.043024
150,0.0403057
