Electrolyte,T_Celsius,c_mol_kg,kappa
KCl,5.0,0.000100,0.009464
KCl,10.0,0.000100,0.01074
KCl,25.0,0.000100,0.01487
KCl,35.0,0.000100,0.01786
KCl,45.0,0.000100,0.02105
KCl,70.0,0.000100,0.02969
KCl,90.0,0.000100,0.03716
KCl,5.0,0.001000,0.09198
KCl,10.0,0.001000,0.1050
KCl,25.0,0.001000,0.1471
KCl,35.0,0.001000,0.1773
KCl,45.0,0.001000,0.2070
KCl,70.0,0.001000,0.2897
KCl,90.0,0.001000,0.3587
KCl,5.0,0.01000,0.8910
KCl,10.0,0.01000,1.014
KCl,25.0,0.01000,1.408
KCl,35.0,0.01000,1.688
KCl,45.0,0.01000,1.977
KCl,70.0,0.01000,2.761
KCl,90.0,0.01000,3.426
KCl,5.0,0.10000,8.184
KCl,10.0,0.10000,9.292
KCl,25.0,0.10000,12.83
KCl,35.0,0.10000,15.32
KCl,45.0,0.10000,17.88
KCl,70.0,0.10000,24.71
KCl,90.0,0.10000,30.86
KCl,5.0,0.5000,38.75
KCl,10.0,0.5000,43.75
KCl,25.0,0.5000,59.20
KCl,35.0,0.5000,69.81
KCl,45.0,0.5000,81.07
KCl,70.0,0.5000,112.3
KCl,90.0,0.5000,134.8
KCl,5.0,1.000,72.03
KCl,10.0,1.000,80.84
KCl,25.0,1.000,108.6
KCl,35.0,1.000,128.0
KCl,45.0,1.000,147.7
KCl,70.0,1.000,202.5
KCl,90.0,1.000,245.8
NaCl,5.0,0.000104,0.008271
NaCl,10.0,0.000104,0.009431
NaCl,25.0,0.000104,0.01295
NaCl,35.0,0.000104,0.01610
NaCl,45.0,0.000104,0.01893
NaCl,70.0,0.000104,0.02693
NaCl,90.0,0.000104,0.03358
NaCl,5.0,0.000990,0.07531
NaCl,10.0,0.000990,0.08619
NaCl,25.0,0.000990,0.1224
NaCl,35.0,0.000990,0.1478
NaCl,45.0,0.000990,0.1747
NaCl,70.0,0.000990,0.2497
NaCl,90.0,0.000990,0.3126
NaCl,5.0,0.01000,0.7349
NaCl,10.0,0.01000,0.8395
NaCl,25.0,0.01000,1.185
NaCl,35.0,0.01000,1.425
NaCl,45.0,0.01000,1.694
NaCl,70.0,0.01000,2.418
NaCl,90.0,0.01000,3.029
NaCl,5.0,0.10000,6.588
NaCl,10.0,0.10000,7.505
NaCl,25.0,0.10000,10.60
NaCl,35.0,0.10000,12.77
NaCl,45.0,0.10000,15.05
NaCl,70.0,0.10000,21.48
NaCl,90.0,0.10000,26.91
NaCl,5.0,0.5000,29.48
NaCl,10.0,0.5000,33.48
NaCl,25.0,0.5000,46.52
NaCl,35.0,0.5000,56.25
NaCl,45.0,0.5000,66.24
NaCl,70.0,0.5000,93.50
NaCl,90.0,0.5000,116.8
NaCl,5.0,0.9999,54.44
NaCl,10.0,0.9999,61.23
NaCl,25.0,0.9999,84.30
NaCl,35.0,0.9999,101.9
NaCl,45.0,0.9999,119.4
NaCl,70.0,0.9999,168.0
NaCl,90.0,0.9999,209.4
HCl,5.0,0.000110,0.03313
HCl,10.0,0.000110,0.03683
HCl,25.0,0.000110,0.04665
HCl,35.0,0.000110,0.05310
HCl,45.0,0.000110,0.05973
HCl,70.0,0.000110,0.07487
HCl,90.0,0.000110,0.08461
HCl,5.0,0.000958,0.2800
HCl,10.0,0.000958,0.3088
HCl,25.0,0.000958,0.3978
HCl,35.0,0.000958,0.4565
HCl,45.0,0.000958,0.5121
HCl,70.0,0.000958,0.6414
HCl,90.0,0.000958,0.7325
