PC1,PC2
507.4422608085965,-194.5000779451627
490.8941747777572,-188.85074708790938
492.58058986200507,-189.06448074941008
-248.07496186059873,-134.28619067516414
-330.5195244806884,-121.35486672055171
-317.6525578090107,-118.03392268466074
-300.25972958408187,-134.31464946327836
-249.8745826136952,-166.28400350253193
-258.3834536787582,-156.66731677729933
-245.4774653431889,-167.6878276316202
-211.21695247189007,24.109291780464545
-212.24191226065176,-2.283418071767749
-207.85728732623485,363.6761325037235
-28.740383155665867,317.41410105162157
-48.0812176337566,327.60878464557504
-47.064733959340856,324.8765277467163
596.4887683590416,130.76261331483764
618.0389683701618,84.88005026641781
