# time / s  absorbance
    0.0000    1.27783
    2.0000    1.25294
    4.0000    1.22730
    6.0000    1.20300
    8.0000    1.17619
   10.0000    1.15051
   12.0000    1.12481
   14.0000    1.09974
   16.0000    1.07677
   18.0000    1.05528
   20.0000    1.03326
   22.0000    1.01103
   24.0000    0.988789
   26.0000    0.967014
   28.0000    0.946119
   30.0000    0.925425
   32.0000    0.904751
   34.0000    0.884087
   36.0000    0.863576
   38.0000    0.843528
   40.0000    0.824361
   42.0000    0.805370
   44.0000    0.786701
   46.0000    0.767973
   48.0000    0.749448
   50.0000    0.731565
   52.0000    0.713930
   54.0000    0.696983
   56.0000    0.679994
   58.0000    0.663700
   60.0000    0.647812
   62.0000    0.633013
   64.0000    0.617352
   66.0000    0.601939
   68.0000    0.587139
   70.0000    0.572349
   72.0000    0.558146
   74.0000    0.544093
   76.0000    0.530367
   78.0000    0.517384
   80.0000    0.504624
   82.0000    0.492391
   84.0000    0.479845
   86.0000    0.467748
   88.0000    0.455769
   90.0000    0.443870
   92.0000    0.432857
   94.0000    0.422639
   96.0000    0.411172
   98.0000    0.400256
  100.0000    0.389709
  102.0000    0.379523
  104.0000    0.369997
  106.0000    0.360130
  108.0000    0.350642
  110.0000    0.341303
  112.0000    0.332038
  114.0000    0.323263
  116.0000    0.314666
  118.0000    0.306357
  120.0000    0.298546
  122.0000    0.290814
  124.0000    0.283293
  126.0000    0.275649
  128.0000    0.268295
  130.0000    0.260767
  132.0000    0.253492
  134.0000    0.246690
  136.0000    0.239914
  138.0000    0.233365
  140.0000    0.227507
  142.0000    0.221362
  144.0000    0.215194
  146.0000    0.209319
  148.0000    0.203246
  150.0000    0.197636
