wavelength,spinach,carrot,blueberry,cactus pear
300.00000000,27.43860646,8.01957382,100.59877898,29.37202667
301.00000000,27.07307361,7.75321492,93.85699757,29.28754125
302.00000000,26.62738172,7.46819858,89.05745792,29.19718206
303.00000000,26.25513255,7.16825828,85.65152669,29.11499316
304.00000000,25.97605784,6.87562490,83.22873030,29.02715482
305.00000000,25.69548531,6.57550239,81.54678904,28.93355985
306.00000000,25.52911806,6.28957711,80.40747401,28.82442026
307.00000000,25.32650869,6.02988747,79.66928863,28.71454254
308.00000000,25.16934573,5.81181997,79.21476405,28.58667205
309.00000000,25.14885516,5.63293964,79.02521182,28.44838647
310.00000000,24.99076444,5.51941578,79.00585616,28.29334841
311.00000000,25.04677643,5.43917432,79.11865296,28.14546535
312.00000000,25.08638774,5.38611191,79.37094423,27.96939224
313.00000000,25.12208378,5.38990064,79.73936948,27.77811101
314.00000000,25.15819721,5.38485806,80.17654071,27.57947502
315.00000000,25.29089220,5.38232155,80.66777432,27.35234405
316.00000000,25.32704527,5.39931364,81.21974486,27.10925450
317.00000000,25.43014467,5.41257255,81.77238264,26.85243969
318.00000000,25.47487392,5.42877257,82.31233912,26.58279989
319.00000000,25.66290269,5.45178599,82.81692166,26.28844284
320.00000000,25.76803297,5.48611740,83.31082501,25.98131294
321.00000000,25.80197112,5.53570782,83.71195467,25.64464642
322.00000000,26.01530932,5.60884090,84.05434989,25.29204139
323.00000000,26.18324750,5.70609284,84.29596217,24.92040070
324.00000000,26.37736977,5.84691947,84.44613543,24.53278271
325.00000000,26.68872082,5.99522433,84.45147492,24.12785417
326.00000000,26.99300583,6.16279010,84.39073818,23.72075071
327.00000000,27.20284725,6.33853951,84.17115131,23.29750868
328.00000000,27.61263746,6.52047508,83.85278380,22.86695196
329.00000000,27.87801419,6.67910919,83.39358716,22.42324859
330.00000000,28.28102728,6.80532262,82.83427502,22.00000572
331.00000000,28.57154872,6.91498883,82.11144068,21.55813806
332.00000000,28.68805078,6.99526102,81.29316290,21.12509927
333.00000000,29.04133385,7.00384289,80.32070704,20.70494697
334.00000000,29.34436634,7.00137291,79.23678946,20.29272732
335.00000000,29.36537060,7.01904839,78.00603560,19.88482808
336.00000000,29.62728541,6.99659962,76.62110366,19.49064150
337.00000000,29.71362920,7.00250797,75.12270749,19.10359520
338.00000000,29.86139266,7.02072285,73.47614038,18.72382585
339.00000000,29.94827837,7.07301365,71.73813444,18.38417980
340.00000000,29.77407021,7.13002153,69.90601972,18.03499010
341.00000000,29.85835197,7.23480200,68.05121215,17.69769357
342.00000000,29.73833949,7.35534204,66.10830295,17.37547880
343.00000000,29.54207993,7.53137554,64.14069858,17.05704733
344.00000000,29.39966735,7.69277023,62.10301337,16.73761387
345.00000000,29.26653240,7.87871665,60.01126578,16.43433275
346.00000000,29.03119268,8.04495905,57.85077201,16.14714302
347.00000000,28.83088809,8.14617630,55.69294819,15.88547384
348.00000000,28.60009835,8.14955903,53.56716113,15.60653706
349.00000000,28.22353917,8.15561509,51.42735810,15.30931760
350.00000000,27.87304866,8.10640483,49.35029412,15.04729902
351.00000000,27.86108339,8.03566023,47.30326458,14.83393406
352.00000000,27.73900104,7.94932304,45.28159785,14.59804039
353.00000000,27.70569295,7.92471945,43.26927522,14.39688915
354.00000000,27.59284720,7.81905593,41.32169396,14.25356304
355.00000000,27.78508464,7.75393048,39.40681709,14.13844763
356.00000000,27.77430139,7.68909596,37.54533537,13.99378148
357.00000000,27.86069149,7.68431773,35.77282279,13.87415830
358.00000000,28.17181585,7.71138878,34.07339452,13.81542612
359.00000000,28.37306811,7.82235587,32.43416921,13.76794594
360.00000000,28.69505986,7.98019159,30.88498123,13.69229902
361.00000000,28.97110594,8.21400883,29.41288198,13.61361342
362.00000000,29.34837548,8.50629642,28.00412280,13.59285421
363.00000000,29.72616114,8.81208283,26.66778030,13.58272537
364.00000000,30.16930185,9.18260727,25.39170737,13.55058312
365.00000000,30.57200126,9.55837139,24.19639448,13.53611353
366.00000000,31.08199700,9.92470613,23.09999567,13.58455490
367.00000000,31.66372015,10.26754020,22.06847166,13.63925564
