category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.1,46.6,0.1779,0.5184,0.707,1.0515
0,20.1,46.7,0.1797,0.525,0.7126,1.0441
0,20.1,46.6,0.1793,0.5246,0.7067,1.0514
0,20.1,46.6,0.1882,0.515,0.7118,1.0515
0,20.1,46.7,0.171,0.5321,0.7098,1.0526
0,20.1,46.6,0.1758,0.5206,0.7159,1.0536
0,20.1,46.7,0.1825,0.5193,0.7131,1.0477
0,20.1,46.6,0.1738,0.5332,0.7035,1.0471
0,20.1,46.7,0.1747,0.5251,0.7118,1.0492
0,20.1,46.6,0.1755,0.5179,0.7016,1.0543
0,20.1,46.6,0.1928,0.5226,0.7124,1.052
0,20.1,46.6,0.1915,0.5253,0.706,1.0513
0,20.1,46.6,0.1802,0.5202,0.697,1.0467
0,20.1,46.6,0.1744,0.5185,0.7076,1.0616
0,20.1,46.6,0.1827,0.5243,0.7111,1.0427
0,20.1,46.6,0.177,0.5171,0.705,1.0527
0,20.1,46.6,0.1799,0.5188,0.7075,1.0533
0,20.1,46.6,0.1859,0.5183,0.7073,1.0471
0,20.1,46.6,0.1763,0.522,0.7082,1.0422
0,20.1,46.6,0.18,0.5211,0.7141,1.0514
0,20.1,46.6,0.1756,0.5184,0.708,1.0461
0,20.1,46.6,0.1792,0.5104,0.7109,1.0486
0,20.1,46.6,0.1813,0.5217,0.707,1.0489
0,20.1,46.6,0.1751,0.5152,0.7075,1.053
0,20.1,46.6,0.1783,0.5353,0.7048,1.0459
0,20.1,46.6,0.1788,0.5164,0.7135,1.0609
0,20.1,46.6,0.1768,0.5199,0.7093,1.0361
0,20.1,46.7,0.1741,0.5141,0.7119,1.044
0,20.1,46.6,0.1729,0.5091,0.7109,1.0501
0,20.1,46.6,0.1792,0.519,0.7175,1.0495
0,20.1,46.6,0.1787,0.5145,0.7115,1.0556
0,20.1,46.6,0.1912,0.5237,0.7155,1.0497
0,20.1,46.6,0.1678,0.5275,0.7102,1.0376
0,20.1,46.6,0.1806,0.516,0.7029,1.0489
0,20.2,46.6,0.1819,0.5147,0.7048,1.0446
0,20.1,46.6,0.1868,0.5261,0.7157,1.0501
0,20.1,46.6,0.1825,0.5222,0.708,1.0631
0,20.1,46.6,0.1758,0.5292,0.7063,1.0466
0,20.1,46.6,0.18,0.5224,0.7108,1.0536
0,20.1,46.6,0.1827,0.5285,0.7084,1.0445
0,20.1,46.6,0.1784,0.5127,0.7148,1.0595
0,20.1,46.6,0.1839,0.524,0.7156,1.0504
0,20.1,46.7,0.1707,0.5157,0.7092,1.0584
0,20.1,46.6,0.1987,0.516,0.7161,1.0515
0,20.1,46.6,0.1873,0.5242,0.7068,1.0468
0,20.1,46.7,0.1783,0.5203,0.7158,1.0492
0,20.1,46.7,0.1831,0.5241,0.7067,1.0526
0,20.1,46.6,0.1802,0.5238,0.7131,1.0469
0,20.1,46.7,0.1759,0.5285,0.7074,1.0519
0,20.1,46.6,0.1804,0.5159,0.7073,1.0562
0,20.1,46.7,0.185,0.5229,0.7117,1.0422
0,20.1,46.7,0.1781,0.5087,0.7048,1.0456
0,20.1,46.6,0.1781,0.5254,0.7173,1.0518
0,20.1,46.6,0.1796,0.5253,0.7025,1.048
0,20.1,46.7,0.1822,0.5229,0.7081,1.0512
0,20.1,46.7,0.1864,0.5187,0.7116,1.0547
0,20.1,46.7,0.1768,0.5207,0.7079,1.0513
0,20.1,46.7,0.1825,0.5202,0.7038,1.0473
0,20.1,46.7,0.1811,0.5151,0.7108,1.0411
0,20.1,46.7,0.1707,0.5202,0.7119,1.0544
0,20.1,46.6,0.1779,0.5253,0.7029,1.058
0,20.1,46.7,0.1793,0.5224,0.7083,1.0521
0,20.1,46.6,0.1798,0.519,0.7107,1.0464
0,20.1,46.7,0.1816,0.522,0.7044,1.0544
0,20.1,46.6,0.1698,0.5281,0.7047,1.0424
0,20.1,46.7,0.1802,0.5153,0.7059,1.0502
0,20.1,46.7,0.1766,0.5239,0.7096,1.0455
0,20.1,46.7,0.1728,0.5166,0.698,1.0516
0,20.1,46.6,0.1826,0.522,0.6992,1.039
0,20.1,46.7,0.1837,0.5132,0.7067,1.0584
0,20.1,46.7,0.1767,0.5269,0.7056,1.0572
0,20.1,46.7,0.1842,0.5287,0.7034,1.0463
0,20.1,46.7,0.1781,0.5171,0.7092,1.0455
0,20.1,46.7,0.1803,0.5164,0.7046,1.0505
0,20.1,46.7,0.1745,0.5219,0.7087,1.0504
0,20.1,46.7,0.1879,0.5316,0.7046,1.0512
0,20.1,46.7,0.1667,0.5224,0.7072,1.0585
0,20.1,46.7,0.1795,0.5227,0.7137,1.05
0,20.1,46.7,0.1835,0.5174,0.694,1.0513
0,20.1,46.7,0.1698,0.5191,0.7009,1.0556
0,20.1,46.7,0.1791,0.5053,0.6935,1.0519
0,20.1,46.7,0.1796,0.5177,0.7049,1.0531
0,20.1,46.7,0.1841,0.5087,0.7174,1.054
0,20.1,46.7,0.1862,0.5239,0.7038,1.0495
0,20.1,46.7,0.178,0.5177,0.7046,1.0603
0,20.1,46.7,0.1731,0.5128,0.6924,1.0547
0,20.1,46.7,0.1868,0.516,0.7027,1.0577
0,20.1,46.7,0.1861,0.5186,0.6947,1.0385
0,20.1,46.7,0.1777,0.5165,0.7013,1.0535
0,20.1,46.7,0.1818,0.5156,0.6958,1.049
0,20.1,46.7,0.1819,0.5241,0.7001,1.0473
0,20.1,46.7,0.1828,0.5184,0.699,1.0526
0,20.1,46.7,0.181,0.511,0.6979,1.0501
0,20.1,46.7,0.187,0.5166,0.6985,1.0507
0,20.1,46.7,0.1713,0.5277,0.6998,1.0543
0,20.1,46.7,0.1852,0.5215,0.7067,1.0476
0,20.1,46.7,0.1819,0.5209,0.6963,1.055
0,20.1,46.7,0.1789,0.5214,0.7031,1.0496
0,20.1,46.7,0.1859,0.5298,0.6973,1.0471
0,20.1,46.7,0.1683,0.5104,0.6939,1.0515
0,20.1,46.7,0.1858,0.5245,0.7107,1.0394
0,20.1,46.7,0.1819,0.5116,0.7077,1.0565
0,20.1,46.7,0.1743,0.5264,0.7026,1.044
0,20.1,46.7,0.1822,0.5313,0.7001,1.0517
0,20.1,46.7,0.1785,0.5194,0.6958,1.0471
0,20.1,46.7,0.1929,0.5185,0.7007,1.0501
0,20.1,46.7,0.1892,0.5201,0.7044,1.0507
0,20.1,46.7,0.1822,0.5149,0.6939,1.0543
0,20.1,46.7,0.1764,0.5176,0.6988,1.0418
0,20.1,46.7,0.1771,0.5215,0.706,1.0463
0,20.1,46.7,0.1784,0.5301,0.7141,1.0567
0,20.1,46.7,0.1772,0.5116,0.7054,1.0543
0,20.1,46.7,0.1755,0.5214,0.6951,1.045
0,20.1,46.7,0.177,0.513,0.7021,1.0463
0,20.1,46.7,0.1786,0.5249,0.7034,1.0549
0,20.1,46.7,0.1774,0.5128,0.6981,1.0481
0,20.1,46.7,0.1765,0.5252,0.6996,1.0468
0,20.1,46.7,0.1754,0.521,0.7001,1.0502
0,20.1,46.7,0.1928,0.5114,0.6986,1.0483
0,20.1,46.7,0.1726,0.511,0.6989,1.0451
0,20.1,46.7,0.1749,0.5137,0.7012,1.0471
0,20.1,46.7,0.1822,0.5089,0.7041,1.0509
0,20.1,46.7,0.1784,0.5136,0.7004,1.0504
0,20.1,46.7,0.1821,0.518,0.6994,1.0487
0,20.1,46.7,0.184,0.5136,0.7013,1.0466
0,20.1,46.7,0.1863,0.5065,0.6974,1.0467
0,20.1,46.7,0.1838,0.5184,0.7022,1.0459
0,20.1,46.7,0.175,0.5199,0.6994,1.0496
0,20.1,46.7,0.1855,0.5079,0.6932,1.0464
0,20.1,46.7,0.1712,0.5203,0.701,1.0555
0,20.1,46.7,0.1794,0.5142,0.6878,1.0545
0,20.1,46.7,0.1775,0.5176,0.705,1.0499
0,20.1,46.7,0.1747,0.5106,0.7132,1.0593
0,20.1,46.7,0.183,0.5184,0.698,1.0435
0,20.1,46.7,0.1791,0.5258,0.7103,1.0584
0,20.1,46.7,0.1851,0.5119,0.7047,1.0561
0,20.1,46.7,0.1726,0.52,0.702,1.058
0,20.1,46.8,0.1842,0.5213,0.712,1.0516
0,20.1,46.7,0.1825,0.5002,0.7047,1.0394
0,20.1,46.7,0.1806,0.5155,0.7035,1.0431
0,20.1,46.7,0.1729,0.5141,0.7011,1.0512
0,20.1,46.7,0.1787,0.5172,0.6878,1.0529
0,20.1,46.8,0.1723,0.5023,0.7017,1.0638
0,20.1,46.7,0.1696,0.5037,0.7012,1.0509
0,20.1,46.8,0.1964,0.5196,0.6971,1.0488
0,20.1,46.7,0.1849,0.5188,0.7014,1.0417
0,20.1,46.8,0.189,0.5124,0.6958,1.0459
0,20.0,46.8,0.1779,0.5185,0.6925,1.0467
0,20.1,46.8,0.1835,0.5152,0.6915,1.0453
0,20.1,46.7,0.1835,0.5241,0.685,1.0511
0,20.1,46.8,0.183,0.5061,0.694,1.0417
0,20.1,46.8,0.18,0.5026,0.7007,1.0495
0,20.1,46.7,0.1789,0.515,0.691,1.0545
0,20.1,46.8,0.1697,0.5035,0.6978,1.0399
0,20.1,46.8,0.1831,0.5103,0.702,1.0462
