# time / s  absorbance
         0    1.625020
        30    1.471490
        60    1.295880
        90    1.169340
       120    1.042040
       150    0.924193
       180    0.824484
       210    0.731743
       240    0.650593
       270    0.580006
       300    0.513924
       330    0.457557
       360    0.405980
       390    0.361701
       420    0.321103
       450    0.284768
       480    0.252463
       510    0.223385
       540    0.196780
       570    0.173255
       600    0.152405
       630    0.133735
       660    0.117521
       690    0.103117
       720    0.090252
       750    0.078662
       780    0.066950
       810    0.057892
       840    0.049636
       870    0.041852
       900    0.035837

