PC1,PC2,lambda_abs_continuous,lambda_abs_class
0.0515,-1.7994,400.0000,-1
0.7790,-1.7741,400.0000,-1
0.7006,-1.4832,400.0000,-1
0.8047,-1.4448,400.0000,-1
0.6912,-1.5818,400.0000,-1
0.6263,-1.8796,400.0000,-1
1.1786,-1.8794,400.0000,-1
1.3897,0.1856,410.0000,-1
1.6215,0.9812,410.0000,-1
2.0295,0.4462,410.0000,-1
2.0704,0.5861,413.0000,-1
2.2086,0.5557,413.0000,-1
1.8780,0.5449,413.0000,-1
1.8246,1.0209,413.0000,-1
2.0024,0.5351,410.0000,-1
2.2922,0.4904,397.0000,-1
0.0844,-2.0059,386.0000,-1
-0.9778,-1.7144,400.0000,-1
-2.3972,-0.7040,462.0000,1
-2.7038,-0.4517,467.0000,1
-2.6502,-0.4216,465.0000,1
-2.6699,-0.5610,463.0000,1
-2.9094,-0.3966,469.0000,1
-1.1153,2.4049,464.0000,1
-1.0617,2.4349,467.0000,1
-1.2589,2.3609,416.0000,1
-1.2928,2.6284,478.0000,1
-2.5812,-1.0622,460.0000,1
-0.8054,2.1721,465.0000,1
0.1904,1.8125,456.0000,1
