#  V_B / ml          pH
        0.0        1.64
        0.5        1.65
        1.0        1.67
        1.5        1.69
        2.0        1.71
        2.5        1.73
        3.0        1.755
        3.5        1.775
        4.0        1.795
        4.5        1.82
        5.0        1.84
        5.525      1.86
        6.0        1.89
        6.5        1.91
        7.0        1.94
        7.5        1.965
        8.0        1.99
        8.5        2.02
        9.0        2.05
        9.5        2.08
       10.0        2.11
       10.5        2.15
       11.0        2.19
       11.5        2.23
       12.0        2.27
       12.5        2.32
       13.0        2.365
       13.5        2.42
       14.0        2.48
       14.5        2.55
       15.0        2.63
       15.5        2.72
       16.0        2.85
       16.2        2.90
       16.35       2.95
       16.55       3.05
       16.8        3.14
       17.0        3.26
       17.25       3.47
       17.501      4.07
       17.6        5.00
       17.7        8.04
       17.8        10.08
       17.9        10.345
       18.0        10.545
       18.25       10.79
       18.375      10.86
       18.6        10.93
       18.8        11.03
       19.0        11.08
       19.52       11.21
       20.0        11.30
       20.5        11.36
       21.0        11.42
       21.55       11.46
       22.0        11.475
       22.5        11.49
       23.0        11.50
       23.4        11.53
       24.0        11.56
       24.5        11.59
       25.0        11.61
