category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.19,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.19,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.2,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.19,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.6,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.6,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.71,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.0,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.7,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.0,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.52,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.69,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
0,20.1,46.8,0.18,0.51,0.7,1.05
