PC1,PC2,labels
0.0515,-1.7994,-1
0.779,-1.7741,-1
0.7006,-1.4832,-1
0.8047,-1.4448,-1
0.6912,-1.5818,-1
0.6263,-1.8796,-1
1.1786,-1.8794,-1
1.3897,0.1856,1
1.6215,0.9812,1
2.0295,0.4462,1
2.0704,0.5861,1
2.2086,0.5557,1
1.878,0.5449,1
1.8246,1.0209,1
2.0024,0.5351,1
2.2922,0.4904,1
0.0844,-2.0059,-1
-0.9778,-1.7144,-1
-2.3972,-0.704,1
-2.7038,-0.4517,1
-2.6502,-0.4216,1
-2.6699,-0.561,1
-2.9094,-0.3966,1
-1.1153,2.4049,-1
-1.0617,2.4349,-1
-1.2589,2.3609,-1
-1.2928,2.6284,-1
-2.5812,-1.0622,1
-0.8054,2.1721,-1
0.1904,1.8125,-1
