Rank,Language,Share,1-year trend
1,Python,28.20%,0.50%
2,Java,15.73%,-0.90%
3,JavaScript,8.91%,-0.60%
4,C/C++,6.80%,0.00%
5,C#,6.67%,-0.30%
6,R,4.59%,0.60%
7,PHP,4.54%,-0.70%
8,TypeScript,2.92%,0.20%
9,Swift,2.77%,0.60%
10,Objective-C,2.34%,0.20%
11,Rust,2.19%,0.30%
12,Go,2.02%,0.10%
13,Kotlin,1.78%,0.00%
14,Matlab,1.59%,0.00%
15,Ruby,1.03%,0.00%
16,Ada,1.02%,0.20%
17,Dart,0.99%,0.20%
18,VBA,0.91%,-0.10%
19,Powershell,0.91%,0.00%
20,Lua,0.71%,0.10%
21,Scala,0.61%,0.00%
22,Abap,0.54%,0.10%
23,Visual Basic,0.53%,-0.10%
24,Julia,0.37%,0.00%
25,Groovy,0.33%,-0.10%
26,Perl,0.30%,-0.10%
27,Haskell,0.28%,0.00%
28,Cobol,0.22%,-0.20%
29,Delphi/Pascal,0.19%,0.20%
