,smiles,lambda_abs,lambda_abs2,lambda_em,lambda_em2,fl_int
1,O=C1N(C)C(C)=NC1=CC2=CC(OC)=C(O)C(OC)=C2,400.0,,537.0,,100.0
2,O=C1N(CC)C(C)=NC1=CC2=CC(OC)=C(O)C(OC)=C2,400.0,,537.0,,122.0
3,O=C1N(C(C)C)C(C)=NC1=CC2=CC(OC)=C(O)C(OC)=C2,400.0,,537.0,,61.0
4,O=C1N(C(C)(C)C)C(C)=NC1=CC2=CC(OC)=C(O)C(OC)=C2,400.0,,534.0,,61.0
5,O=C1N(C2CCC(C)CC2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,400.0,,537.0,,113.0
6,O=C1N(CC2=CC=CC=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,400.0,,537.0,,17.9
7,O=C1N(CC2=CC=C(OC)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,400.0,,535.0,,16.3
8,O=C1N(C2=CC=CC=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,410.0,,539.0,,144.0
9,O=C1N(C2=CC=C(C)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,410.0,,539.0,,400.0
10,O=C1N(C2=CC=C(OC)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,410.0,,538.0,,531.0
11,O=C1N(C2=CC=C(C(F)(F)F)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,413.0,,540.0,,429.0
12,O=C1N(C2=CC=C(OC(F)(F)F)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,413.0,,540.0,,487.0
13,O=C1N(C2=CC=C(N(C)C)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,413.0,,540.0,,10.2
14,O=C1N(C2=CC=C([N+](C)(C)C)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,413.0,,542.0,,735.0
15,O=C1N(C2=CC=C(C(C)(C)C)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,410.0,,539.0,,71.0
16,O=C1N(CC(OC)=O)C(C)=NC1=CC2=CC(OC)=C(O)C(OC)=C2,,,,,
17,O=C1N(C2=CC=C(OC)C=C2)C(C)=NC1=CC3=CC(OC)=C(O)C=C3,397.0,,513.0,,280.0
18,O=C1N(C2=CC=C(OC)C=C2)C(C)=NC1=CC3=CC(OC)=CC(OC)=C3,,,,,
19,O=C1N(C)C(C)=NC1=CC2=CC(OC)=C(O)C(Br)=C2,386.0,,520.0,,142.0
20,O=C1N(C)C(CCC2=CC=CC=C2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,400.0,,539.0,,4.3
21,O=C1N(C)C(C=CC2=CC=CC=C2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,462.0,,601.0,,9.9
22,O=C1N(C)C(C=CC2=CC=CC=N2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,467.0,,616.0,,5.9
23,O=C1N(C)C(C=CC2=CC=CN=C2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,465.0,,611.0,,12.3
24,O=C1N(C)C(C=CC2=CC=NC=C2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,,,,,
25,O=C1N(C)C(C=CC2=CNC=N2)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,463.0,,545.0,594.0,74.3
26,O=C1N(C)C(C=CC2=CNC3C2C=CC=C3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,469.0,,539.0,,45.6
27,O=C1N(C2=CC=C(C)C=C2)C(C=CC3=CC=CC=N3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,464.0,,618.0,,2.3
28,O=C1N(C2=CC=C(C)C=C2)C(C=CC3=CC=CN=C3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,467.0,,613.0,,3.2
29,O=C1N(C2=CC=C(C)C=C2)C(C=CC3=CC=NC=C3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,,,,,
30,O=C1N(C2=CC=C(C)C=C2)C(C=CC3=CNC=N3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,416.0,461.0,542.0,592.0,92.0
31,O=C1N(C2=CC=C(C)C=C2)C(C=CC3=CNC4C3C=CC=C4)=NC1=CC5=CC(OC)=C(O)C(OC)=C5,478.0,,539.0,,50.1
32,O=C1N(C)C(/C=C/C3=CC=C[CH-]3[Fe+2][CH-]4C=CC=C4)=N/C1=C\C2=CC(OC)=C(O)C(OC)=C2,460.0,,573.0,,2.3
33,O=C1N(C2=CC=C(N(C)C)C=C2)C(C=CC3=CC=CC=C3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,,,,,
34,O=C1N(C2=CC=C([N+](C)(C)C)C=C2)C(C=CC3=CC=CC=C3)=NC1=CC4=CC(OC)=C(O)C(OC)=C4,465.0,,603.0,,85.2
35,O=C1N(C2=CC=C(N(C)C)C=C2)C(C=NO)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,,,,,
36,O=C1N(C2=CC=C([N+](C)(C)C)C=C2)C(C=NO)=NC1=CC3=CC(OC)=C(O)C(OC)=C3,456.0,,592.0,,147.0
